date,shipped_kg
2018-03-04,12320.64
2018-03-05,11335.68
2018-03-06,0.0
2018-03-07,18017.28
2018-03-08,10604.16
2018-03-09,10442.88
2018-03-10,0.0
2018-03-11,11162.88
2018-03-12,10016.64
2018-03-13,0.0
2018-03-14,15488.64
2018-03-15,10679.039999999999
2018-03-16,11393.279999999999
2018-03-17,0.0
2018-03-18,13495.68
2018-03-19,11946.24
2018-03-20,0.0
2018-03-21,16531.2
2018-03-22,14088.96
2018-03-23,14670.72
2018-03-24,0.0
2018-03-25,16876.8
2018-03-26,14924.16
2018-03-27,0.0
2018-03-28,19336.32
2018-03-29,11917.439999999999
2018-03-30,13749.119999999999
2018-03-31,0.0
2018-04-01,14204.16
2018-04-02,14371.199999999999
2018-04-03,0.0
2018-04-04,21196.8
2018-04-05,15108.48
2018-04-06,18034.559999999998
2018-04-07,0.0
2018-04-08,16081.92
2018-04-09,13092.48
2018-04-10,0.0
2018-04-11,17262.72
2018-04-12,12441.6
2018-04-13,15816.96
2018-04-14,0.0
2018-04-15,15505.92
2018-04-16,13691.519999999999
2018-04-17,0.0
2018-04-18,18086.399999999998
2018-04-19,12792.96
2018-04-20,14757.119999999999
2018-04-21,0.0
2018-04-22,15598.08
2018-04-23,11450.88
2018-04-24,0.0
2018-04-25,14785.92
2018-04-26,9100.8
2018-04-27,12706.56
2018-04-28,0.0
2018-04-29,15212.16
2018-04-30,12885.119999999999
2018-05-01,11727.359999999999
2018-05-02,15811.199999999999
2018-05-03,0.0
2018-05-04,17890.559999999998
2018-05-05,0.0
2018-05-06,15805.439999999999
2018-05-07,12689.279999999999
2018-05-08,0.0
2018-05-09,24946.559999999998
2018-05-10,12320.64
2018-05-11,13230.72
2018-05-12,0.0
2018-05-13,14958.72
2018-05-14,14048.64
2018-05-15,0.0
2018-05-16,15805.439999999999
2018-05-17,9509.76
2018-05-18,13219.199999999999
2018-05-19,0.0
2018-05-20,16041.599999999999
2018-05-21,11744.64
2018-05-22,0.0
2018-05-23,16490.88
2018-05-24,11802.24
2018-05-25,14486.4
2018-05-26,0.0
2018-05-27,16513.92
2018-05-28,13812.48
2018-05-29,0.0
2018-05-30,20563.2
2018-05-31,13150.08
2018-06-01,14100.48
2018-06-02,0.0
2018-06-03,15891.84
2018-06-04,13530.24
2018-06-05,0.0
2018-06-06,18414.719999999998
2018-06-07,11088.0
2018-06-08,11940.48
2018-06-09,0.0
2018-06-10,15759.359999999999
2018-06-11,15125.76
2018-06-12,0.0
2018-06-13,21358.079999999998
2018-06-14,11260.8
2018-06-15,12516.48
2018-06-16,0.0
2018-06-17,12453.119999999999
2018-06-18,11180.16
2018-06-19,0.0
2018-06-20,19088.64
2018-06-21,13495.68
2018-06-22,14883.84
2018-06-23,0.0
2018-06-24,13299.84
2018-06-25,7920.0
2018-06-26,0.0
2018-06-27,9642.24
2018-06-28,5696.639999999999
2018-06-29,8467.199999999999
2018-06-30,0.0
2018-07-01,9233.279999999999
2018-07-02,7493.759999999999
2018-07-03,0.0
2018-07-04,9561.6
2018-07-05,5909.76
2018-07-06,6336.0
2018-07-07,0.0
2018-07-08,6013.44
2018-07-09,3225.6
2018-07-10,2597.7599999999998
2018-07-11,3202.56
2018-07-12,1537.9199999999998
2018-07-13,1457.28
2018-07-14,0.0
2018-07-15,0.0
2018-07-16,1405.44
2018-07-17,167.04
2018-07-18,155.51999999999998
2018-07-19,97.92
2018-07-20,161.28
2018-07-21,0.0
2018-07-22,132.48
2018-07-23,144.0
2018-07-24,0.0
2018-07-25,161.28
2018-07-26,46.08
2018-07-27,80.64
2018-07-28,0.0
2018-07-29,0.0
2018-07-30,0.0
2018-07-31,0.0
2018-08-01,0.0
2018-08-02,0.0
2018-08-03,0.0
2018-08-04,0.0
2018-08-05,0.0
2018-08-06,0.0
2018-08-07,0.0
2018-08-08,0.0
2018-08-09,0.0
2018-08-10,0.0
2018-08-11,0.0
2018-08-12,0.0
2018-08-13,0.0
2018-08-14,0.0
2018-08-15,0.0
2018-08-16,0.0
2018-08-17,0.0
2018-08-18,0.0
2018-08-19,0.0
2018-08-20,0.0
2018-08-21,0.0
2018-08-22,0.0
2018-08-23,0.0
2018-08-24,0.0
2018-08-25,0.0
2018-08-26,0.0
2018-08-27,0.0
2018-08-28,0.0
2018-08-29,0.0
2018-08-30,0.0
2018-08-31,0.0
2018-09-01,0.0
2018-09-02,0.0
2018-09-03,0.0
2018-09-04,0.0
2018-09-05,0.0
2018-09-06,0.0
2018-09-07,0.0
